Arrival_Date,State,Variety,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
19-05-2010,Andhra Pradesh,Other,180,220,200
20-05-2010,Andhra Pradesh,Other,180,220,200
19-08-2010,Chattisgarh,Other,1500,1500,1500
10-11-2010,Chattisgarh,Other,2400,2400,2400
22-12-2010,Chattisgarh,Other,2400,2400,2400
13-02-2010,Chattisgarh,Other,1970,1970,1970
19-07-2010,Chattisgarh,Other,2500,2500,2500
16-08-2010,Chattisgarh,Other,3000,3000,3000
26-08-2010,Chattisgarh,Other,3000,3000,3000
09-02-2010,Chattisgarh,Other,2800,2800,2800
14-09-2010,Chattisgarh,Other,3000,3000,3000
12-07-2010,Chattisgarh,Other,2500,2500,2500
29-01-2010,Chattisgarh,Other,3000,3000,3000
31-01-2010,Chattisgarh,Other,3000,3000,3000
06-09-2010,Chattisgarh,Other,2000,2000,2000
25-06-2010,Chattisgarh,Other,2000,2000,2000
29-06-2010,Chattisgarh,Other,2500,2500,2500
14-08-2010,Chattisgarh,Other,2500,2500,2500
30-08-2010,Chattisgarh,Other,3000,3000,3000
30-09-2010,Chattisgarh,Other,2500,2500,2500
18-10-2010,Chattisgarh,Other,2500,2500,2500
30-12-2010,Chattisgarh,Other,2500,2500,2500
05-07-2010,Chattisgarh,Other,2030,2030,2030
07-07-2010,Chattisgarh,Other,475,475,475
17-08-2010,Chattisgarh,Other,3100,3100,3100
22-11-2010,Chattisgarh,Other,3100,3100,3100
28-11-2010,Chattisgarh,Other,3100,3100,3100
01-06-2010,Chattisgarh,Other,3350,3350,3350
13-01-2010,Chattisgarh,Other,3500,3500,3500
14-06-2010,Chattisgarh,Other,3000,3000,3000
07-03-2010,Chattisgarh,Other,2200,2400,2300
07-08-2010,Chattisgarh,Other,2525,2550,2527
08-09-2010,Chattisgarh,Other,4000,4005,4002
19-08-2010,Chattisgarh,Other,2055,6554,2055
10-04-2010,Chattisgarh,Other,1900,2000,1950
20-11-2010,Chattisgarh,Other,1715,1716,1715
29-11-2010,Chattisgarh,Other,4300,4800,4500
12-06-2010,Chattisgarh,Other,2500,3022,3000
01-06-2010,Chattisgarh,Other,4000,4000,4000
01-07-2010,Chattisgarh,Other,4000,4000,4000
18-01-2010,Chattisgarh,Other,2000,2000,0
21-01-2010,Chattisgarh,Other,4000,4000,4000
25-01-2010,Chattisgarh,Other,4000,4000,4000
02-05-2010,Chattisgarh,Other,4000,4000,4000
18-02-2010,Chattisgarh,Other,4000,4000,4000
03-08-2010,Chattisgarh,Other,4000,4000,4000
03-10-2010,Chattisgarh,Other,1600,1600,1600
15-03-2010,Chattisgarh,Other,4000,4000,4000
22-03-2010,Chattisgarh,Other,4000,4000,4000
26-04-2010,Chattisgarh,Other,4000,4000,4000
30-04-2010,Chattisgarh,Other,4000,4000,4000
05-07-2010,Chattisgarh,Other,4000,4000,4000
05-11-2010,Chattisgarh,Other,4000,4000,4000
14-05-2010,Chattisgarh,Other,4000,4000,4000
19-05-2010,Chattisgarh,Other,4000,4000,4000
24-05-2010,Chattisgarh,Other,4000,4000,4000
31-05-2010,Chattisgarh,Other,2000,4000,2000
06-04-2010,Chattisgarh,Other,2000,4000,2000
06-07-2010,Chattisgarh,Other,1850,40004,1850
18-06-2010,Chattisgarh,Other,4000,4000,4000
07-08-2010,Chattisgarh,Other,4000,4000,4000
13-07-2010,Chattisgarh,Other,4000,4000,4000
22-07-2010,Chattisgarh,Other,8000,8000,8000
29-07-2010,Chattisgarh,Other,8000,8000,8000
08-03-2010,Chattisgarh,Other,8000,8000,8000
08-07-2010,Chattisgarh,Other,8000,8000,8000
08-12-2010,Chattisgarh,Other,8000,8000,8000
19-08-2010,Chattisgarh,Other,8000,8000,8000
23-08-2010,Chattisgarh,Other,8000,8000,8000
09-02-2010,Chattisgarh,Other,8000,8000,8000
09-07-2010,Chattisgarh,Other,8000,8000,8000
09-09-2010,Chattisgarh,Other,8000,8000,8000
13-09-2010,Chattisgarh,Other,8000,8000,8000
24-09-2010,Chattisgarh,Other,8000,8000,8000
27-09-2010,Chattisgarh,Other,8000,8000,8000
10-07-2010,Chattisgarh,Other,8000,8000,0
13-10-2010,Chattisgarh,Other,8000,8000,8000
21-10-2010,Chattisgarh,Other,8000,8000,8000
30-10-2010,Chattisgarh,Other,8000,8000,8000
15-11-2010,Chattisgarh,Other,8000,8000,8000
22-11-2010,Chattisgarh,Other,8000,8000,8000
29-11-2010,Chattisgarh,Other,8000,8000,8000
13-12-2010,Chattisgarh,Other,8000,8000,8000
21-12-2010,Chattisgarh,Other,8000,8000,8000
30-12-2010,Chattisgarh,Other,8000,8000,8000
06-07-2010,Gujarat,Other,1855,2230,2000
10-11-2010,Gujarat,Other,2650,2850,2680
10-12-2010,Gujarat,Other,2685,2685,2685
19-10-2010,Gujarat,Other,2175,2725,2500
25-10-2010,Gujarat,Other,2455,2610,2515
28-10-2010,Gujarat,Other,2055,2540,2410
11-10-2010,Gujarat,Other,2505,3265,2875
12-04-2010,Gujarat,Other,3755,4075,3950
12-06-2010,Gujarat,Other,2630,4260,3755
12-09-2010,Gujarat,Other,3880,3880,3880
13-12-2010,Gujarat,Other,3555,3810,3800
16-12-2010,Gujarat,Other,3605,3755,3700
23-12-2010,Gujarat,Other,3800,3800,3800
27-12-2010,Gujarat,Other,3125,3575,3450
28-12-2010,Gujarat,Other,3400,3430,3430
01-01-2010,Gujarat,Other,2905,4640,4505
01-02-2010,Gujarat,Other,3505,4350,4250
01-04-2010,Gujarat,Other,2505,4300,4250
01-05-2010,Gujarat,Other,4020,4200,4125
01-06-2010,Gujarat,Other,2755,4425,4250
01-07-2010,Gujarat,Other,2500,4200,4125
01-08-2010,Gujarat,Other,1950,3910,3900
01-09-2010,Gujarat,Other,3085,3550,3500
01-12-2010,Gujarat,Other,3110,3950,3750
18-01-2010,Gujarat,Other,3060,4075,4000
19-01-2010,Gujarat,Other,3305,4060,4000
21-01-2010,Gujarat,Other,3660,3660,3660
22-01-2010,Gujarat,Other,3000,4360,4250
23-01-2010,Gujarat,Other,3500,3500,3500
