S.No.,COUNTRY,2015-16,2016-17,2017-18,2018-19,2019-20,2020-2021
1,BELGIUM,241844488,305500520,339242489,848724721,164522318,123508632
2,UARAB EMTS,126607181,234435000,331132208,334022789,49788353,57019302
3,EGYPTARP,48696127,112634752,61278380,45360578,30215132,25837002
4,SAUDIARAB,66483087,69052972,83961014,105434878,15506952,19944389
5,PHILIPPINES,45508856,144639563,218278399,144991732,14547933,24728231
6,RUSSIA,254414843,177411769,198182750,250172462,47977060,42353001
7,KOREARP,10476878,32400652,104584118,257379317,40350070,47155548
8,NETHERLAND,70164395,67688583,134038701,176739039,50036192,42539474
9,SINGAPORE,67232187,96510980,53514763,132638023,13793438,18336255
10,USA,83414645,104116103,115864303,224054168,30407763,22929877
11,Others,830039279,1037381664,1393241246,2268650064,458919403,450952516
Total,Total,1844881966,2381772558,3033318371,4788167771,916064614,875304227
