Year,Food grains (cereals) - Rice,Food grains (cereals) - Wheat,Food grains (cereals) - Jowar,Food grains (cereals) - Bajra,Food grains (cereals) - Maize,Food grains (cereals) - Ragi,Food grains (cereals) - Small millets,Food grains (cereals) - Barley,Total Cereals,Food grains(pulses) - Tur,Food grains(pulses) - Gram,Food grains(pulses) - Other Pulses,Food grains(pulses) - Total Pulses,Total Food grains,Oilseeds - Groundnut,Oilseeds - Castorseed,Oilseeds - Sesamum,Oilseeds - Rapeseed and mustard,Oilseeds - Linseed,Oilseeds - All Nine oilseeds (*),Sugar cane,Cotton,Jute,Mesta,Tobacco,Tea,Coffee,Natural Rubber (Tapped area),Banana,Potato,Turmeric,Black Pepper,Chillies,Ginger,Coconut
2001-02,44904,26345,9795,9529,6582,1647,1311,660,100771,3328,6416,12265,22008,122780,6238,717,1671,5073,536,22636,4412,9132,873,174,349,510,347,567,489,1208,167,219,880,91,1932
2002-03,41176,25196,9300,7740,6635,1415,1201,702,93364,3359,5906,11231,20496,113860,5936,583,1444,4544,450,21489,4520,7670,865,171,327,516,354,570,460,1345,150,224,827,88,1922
2003-04,42593,26595,9331,10612,7343,1666,1191,657,99988,3516,7048,12894,23458,123446,5987,717,1700,5428,477,23663,3938,7598,849,153,370,520,355,576,391,1289,150,233,774,85,1934
2004-05,41907,26383,9092,9233,7430,1553,1101,617,97315,3519,6715,12530,22763,120078,6640,743,1844,7316,449,27523,3662,8787,774,142,367,521,363,584,404,1319,159,228,738,95,1935
2005-06,43660,26484,8667,9581,7588,1534,1064,630,99208,3581,6926,11884,22391,121599,6736,864,1723,7277,437,27863,4202,8677,760,138,373,556,380,598,424,1401,172,260,654,111,1947
2006-07,43814,27995,8473,9508,7894,1177,1010,646,100516,3562,7494,12137,23192,123708,5615,628,1703,6790,437,26513,5151,9145,793,142,369,567,381,615,477,1484,178,246,763,106,1937
2007-08,43914,28039,7764,9571,8117,1387,1039,603,100435,3726,7544,12364,23633,124068,6292,787,1799,5826,468,26693,5055,9414,814,146,348,578,388,635,658,1553,178,199,837,124,1903
2008-09,45537,27752,7531,8753,8174,1381,905,706,100739,3378,7893,10824,22094,122834,6165,866,1809,6298,408,27558,4415,9407,786,115,391,579,394,662,709,1828,195,181,803,144,1903
2009-10,41918,28457,7787,8904,8262,1268,831,624,98051,3466,8169,11647,23282,121334,5478,735,1942,5588,342,25959,4175,10132,811,94,441,579,400,687,770,1835,188,199,810,142,1895
2010-11,42862,29069,7382,9612,8553,1286,800,705,100270,4367,9186,12849,26402,126671,5856,880,2083,6901,359,27224,4885,11235,774,99,491,579,405,712,830,1863,195,184,792,149,1896
2011-12,44006,29865,6245,8777,8782,1176,799,643,100293,4007,8299,12156,24462,124755,5264,1471,1902,5894,323,26308,5038,12178,809,96,466,579,410,735,797,1907,219,200,805,155,2071
2012-13,42754,29995,6214,7297,8673,1131,754,695,97514,3893,8522,10842,23257,120771,4721,1234,1706,6363,296,26484,4999,11977,777,86,426,579,415,758,776,1992,194,125,794,136,2137
2013-14,44136,30473,5793,7811,9066,1194,682,674,99829,3904,9927,11387,25218,125047,5505,1063,1679,6646,293,28051,4993,11960,756,82,431,564,419,778,803,1973,233,124,775,133,2140
2014-15,44111,31466,6161,7318,9185,1208,590,707,100746,3853,8251,11449,23553,124299,4769,1089,1746,5799,285,25596,5067,12819,750,60,469,567,423,795,845,2069,189,124,744,138,1976
2015-16,43878.07692,31342.50549,5474.747253,7828.604396,9470.835165,1085.736264,567.3296703,682.4945055,100331.1758,4053.494505,9484.56044,11425.7033,24963.78022,125294.8681,4979.230769,1219.428571,1875.846154,6553.186813,261.3846154,28005.17582,5147.769231,12877.7033,748.1758242,59.37362637,479.5824176,595.5824176,433.6373626,806.6813187,920.6593407,2178.043956,219.2417582,129.5164835,770.6923077,159.1758242,2054.769231
2016-17,43944.75385,31768.03956,5161.523077,7689.123077,9664.241758,1049.32967,516.5164835,685.2175824,100479.7231,4103.874725,9717.778022,11363.80659,25185.53187,125665.1363,4869.775824,1264.142857,1890.235165,6610.345055,243.2835165,28276.72308,5219.738462,13260.14945,741.3516484,51.11868132,490.021978,600.7648352,439.7032967,825.9340659,959.2901099,2248.773626,224.0263736,120.632967,768.7274725,164.2373626,2066.567033
2017-18,44011.43077,32193.57363,4848.298901,7549.641758,9857.648352,1012.923077,465.7032967,687.9406593,100628.2703,4154.254945,9950.995604,11301.90989,25407.28352,126035.4044,4760.320879,1308.857143,1904.624176,6667.503297,225.1824176,28548.27033,5291.707692,13642.5956,734.5274725,42.86373626,500.4615385,605.9472527,445.7692308,845.1868132,997.9208791,2319.503297,228.810989,111.7494505,766.7626374,169.2989011,2078.364835
2018-19,44078.10769,32619.10769,4535.074725,7410.16044,10051.05495,976.5164835,414.8901099,690.6637363,100776.8176,4204.635165,10184.21319,11240.01319,25629.03516,126405.6725,4650.865934,1353.571429,1919.013187,6724.661538,207.0813187,28819.81758,5363.676923,14025.04176,727.7032967,34.60879121,510.9010989,611.1296703,451.8351648,864.4395604,1036.551648,2390.232967,233.5956044,102.8659341,764.7978022,174.3604396,2090.162637
2019-20,44144.78462,33044.64176,4221.850549,7270.679121,10244.46154,940.1098901,364.0769231,693.3868132,100925.3648,4255.015385,10417.43077,11178.11648,25850.78681,126775.9407,4541.410989,1398.285714,1933.402198,6781.81978,188.9802198,29091.36484,5435.646154,14407.48791,720.8791209,26.35384615,521.3406593,616.3120879,457.9010989,883.6923077,1075.182418,2460.962637,238.3802198,93.98241758,762.832967,179.421978,2101.96044
