arrival_date,state,variety,min_price,max_price,modal_price
21-02-2021,Chattisgarh,Beedi,4500,4500,4500
31-01-2021,Chattisgarh,Other,3900,5000,4500
27-01-2021,Chattisgarh,Other,4800,4800,4800
27-02-2021,Chattisgarh,Other,3700,3700,3700
17-06-2021,Chattisgarh,Other,5000,5000,5000
30-06-2021,Chattisgarh,Other,3126,3126,3126
28-02-2021,Chattisgarh,Other,6000,6000,6000
31-03-2021,Chattisgarh,Other,6000,6000,6000
09-03-2021,Chattisgarh,Chewing,6100,6100,6100
01-06-2021,Chattisgarh,Chewing,6100,6100,6100
28-02-2021,Chattisgarh,Beedi,1750,4600,3175
31-03-2021,Chattisgarh,Beedi,2300,2580,2440
31-03-2021,Chattisgarh,Other,5100,6500,5500
19-03-2021,Gujarat,Other,6350,8555,7500
20-03-2021,Gujarat,Other,6505,10405,8005
22-03-2021,Gujarat,Other,6005,9400,7500
23-03-2021,Gujarat,Other,6250,10005,7750
24-03-2021,Gujarat,Other,6255,9775,7750
25-03-2021,Gujarat,Other,6255,9860,7755
26-03-2021,Gujarat,Other,6505,9805,8000
05-04-2021,Gujarat,Other,7005,10005,8250
06-04-2021,Gujarat,Other,6750,9355,8000
07-04-2021,Gujarat,Other,6505,10055,8000
09-04-2021,Gujarat,Other,6505,9505,7755
10-04-2021,Gujarat,Other,7000,9000,7750
12-04-2021,Gujarat,Other,6875,9405,8000
13-04-2021,Gujarat,Other,7500,9505,8250
14-04-2021,Gujarat,Other,7000,9005,8000
15-04-2021,Gujarat,Other,7000,9255,8000
16-04-2021,Gujarat,Other,7005,9505,8000
22-04-2021,Gujarat,Other,7000,8450,7750
28-04-2021,Gujarat,Other,7000,8555,8000
28-05-2021,Gujarat,Other,6255,9855,8005
29-05-2021,Gujarat,Other,7105,9355,8250
05-06-2021,Gujarat,Other,6700,8255,7750
07-06-2021,Gujarat,Other,7000,8375,7750
10-06-2021,Gujarat,Other,7000,8055,7555
14-06-2021,Gujarat,Other,7000,7850,7350
17-06-2021,Gujarat,Other,6255,7760,7000
18-03-2021,Gujarat,Other,6300,8005,7505
19-03-2021,Gujarat,Other,7000,7055,7055
20-03-2021,Gujarat,Other,6500,7355,7000
22-03-2021,Gujarat,Other,7000,8000,8000
05-04-2021,Gujarat,Other,6185,8850,8450
06-04-2021,Gujarat,Other,6025,9260,8055
07-04-2021,Gujarat,Other,7000,9005,8260
08-04-2021,Gujarat,Other,6500,8755,8055
10-04-2021,Gujarat,Other,7500,8905,8500
12-04-2021,Gujarat,Other,6000,8875,8250
13-04-2021,Gujarat,Other,6250,8505,7975
15-04-2021,Gujarat,Other,7655,8605,8250
16-04-2021,Gujarat,Other,7375,8405,8100
19-04-2021,Gujarat,Other,7750,8850,8250
24-05-2021,Gujarat,Other,6500,8105,7900
27-05-2021,Gujarat,Other,7000,8000,7755
31-05-2021,Gujarat,Other,7230,7900,7855
02-06-2021,Gujarat,Other,7250,7500,7250
19-03-2021,Gujarat,Beedi,6095,7905,7000
20-03-2021,Gujarat,Beedi,5500,7750,6625
22-03-2021,Gujarat,Beedi,6125,7805,6965
23-03-2021,Gujarat,Beedi,6255,7550,6902.5
24-03-2021,Gujarat,Beedi,5560,7510,6535
02-04-2021,Gujarat,Beedi,6750,9400,8075
03-04-2021,Gujarat,Beedi,6000,9425,7712.5
05-04-2021,Gujarat,Beedi,7100,8185,7642.5
